Compounds,Egap,Egap_fit:,Egap_type:
Ca1Cu3O12Ti4,1.2232,2.56187,insulator-indirect_spin-polarized
Ca1Cu3O12Ti4,1.2233,2.56201,insulator-indirect_spin-polarized
Ca1Cu3O12V4,0,0,half-metal
Ca1Fe3O12Ti4,2.0071,3.61857,insulator-direct_spin-polarized
Ca1Fe4Sb12,0,0,metal
Ca1Mn28,0,0,metal
Ca1Na10Sn12,0.6638,1.8078,insulator-indirect
Ca4O12Si4,3.5628,5.71565,insulator-indirect
Ca4O12Si4,3.5901,5.75245,insulator-indirect
Ca4O12Si4,3.593,5.75636,insulator-indirect
Ca4O12Si4,3.5782,5.73641,insulator-indirect
Ca4O12Si4,3.5587,5.71013,insulator-indirect
Ca4O12Si4,3.5438,5.69004,insulator-indirect
Ca4O12Si4,3.5205,5.65863,insulator-indirect
Ca4O12Si4,3.5147,5.65082,insulator-indirect
Ca1,0,0,metal
Ca1,0,0,metal
Ca1,0,0,metal
Ca1,0,0,metal
Ca1,0,0,metal
Ca1,0,0,metal
Ca1K4O12U3,2.9341,4.86817,insulator-indirect
Ca12Cr8O48Si12,3.1646,5.17888,insulator-direct
Ca12Cr8O48Si12,3.1644,5.17861,insulator-direct
Ca12Cr8O48Si12,3.1661,5.1809,insulator-direct
Ca12Cr8O48Si12,3.1634,5.17726,insulator-direct
Ca12Cr8O48Si12,3.165,5.17942,insulator-direct
Ca12Fe8Ge12O48,2.1651,3.83155,insulator-direct_spin-polarized
Ca12Fe8Ge12O48,2.1655,3.83209,insulator-direct_spin-polarized
Ca12Fe8O48Si12,2.3961,4.14294,insulator-direct_spin-polarized
Ca12Fe8O48Si12,2.3959,4.14267,insulator-direct_spin-polarized
Ca12Fe8O48Si12,2.3956,4.14227,insulator-direct_spin-polarized
Ca12Fe8O48Si12,2.3955,4.14213,insulator-direct_spin-polarized
Ca12Fe8O48Si12,2.3971,4.14429,insulator-direct_spin-polarized
Ca12Fe8O48Si12,2.3951,4.14159,insulator-direct_spin-polarized
Ca12Fe8O48Si12,2.3956,4.14227,insulator-direct_spin-polarized
Ca12Fe8O48Si12,2.3956,4.14227,insulator-direct_spin-polarized
Ca12Fe8O48Si12,2.3947,4.14106,insulator-direct_spin-polarized
Ca12Fe8O48Si12,2.3953,4.14186,insulator-direct_spin-polarized
Ca12Fe8O48Si12,2.3953,4.14186,insulator-direct_spin-polarized
Ca12Fe8O48Si12,2.3975,4.14483,insulator-direct_spin-polarized
Ca12Fe8O48Si12,2.3953,4.14186,insulator-direct_spin-polarized
Ca12Fe8O48Si12,2.3954,4.142,insulator-direct_spin-polarized
Ca12Fe8O48Si12,2.3959,4.14267,insulator-direct_spin-polarized
Ca12Fe8O48Si12,2.3948,4.14119,insulator-direct_spin-polarized
Ca12Fe8O48Si12,2.3957,4.1424,insulator-direct_spin-polarized
Ca12Fe8O48Si12,2.3958,4.14254,insulator-direct_spin-polarized
Ca12Fe8O48Si12,2.3952,4.14173,insulator-direct_spin-polarized
Ca12Fe8O48Si12,2.3953,4.14186,insulator-direct_spin-polarized
Ca12Fe8O48Si12,2.3955,4.14213,insulator-direct_spin-polarized
Ca12Fe8O48Si12,2.3954,4.142,insulator-direct_spin-polarized
Ca12Fe8O48Si12,2.3956,4.14227,insulator-direct_spin-polarized
Ca12Fe8O48Si12,2.3954,4.142,insulator-direct_spin-polarized
Ca12Fe8O48Si12,2.3947,4.14106,insulator-direct_spin-polarized
Ca12Fe8O48Si12,2.3959,4.14267,insulator-direct_spin-polarized
Ca12Fe8O48Si12,2.3957,4.1424,insulator-direct_spin-polarized
Ca12Fe8O48Si12,2.3964,4.14335,insulator-direct_spin-polarized
Ca12Fe8O48Si12,2.3954,4.142,insulator-direct_spin-polarized
Ca12Fe8O48Si12,2.3953,4.14186,insulator-direct_spin-polarized
Ca12Fe8O48Si12,2.3946,4.14092,insulator-direct_spin-polarized
Ca12Fe8O48Si12,2.3927,4.13836,insulator-direct_spin-polarized
Ca12Fe8O48Si12,2.3955,4.14213,insulator-direct_spin-polarized
Ca12Ga8O48Si12,4.3289,6.74836,insulator-direct
Ca3Ga4Ni4,0,0,metal
Ca12Ge12O48Sc8,3.4351,5.54351,insulator-indirect
Ca12Ge12O48Y8,3.2159,5.24803,insulator-direct
Ca3Hg1,0,0,metal
Ca12I12P4,2.1567,3.82023,insulator-indirect
Ca12In8O48Si12,3.7776,6.0052,insulator-indirect
Ca3Ir4Si4,0,0,metal
Ca12Mn8O48Si12,0,0,half-metal
Ca24N16,1.1156,2.41683,insulator-indirect
Ca24N16,1.1118,2.41171,insulator-indirect
Ca24N16,1.1141,2.41481,insulator-indirect
Ca24N16,1.1076,2.40604,insulator-indirect
Ca24N16,1.1167,2.41831,insulator-indirect
Ca12O48Sc8Si12,4.2268,6.61073,insulator-direct
Ca12O48Sc8Si12,4.2265,6.61032,insulator-direct
Ca12O48Sc8Si12,4.2271,6.61113,insulator-direct
Ca12O48Si12V8,0,0,half-metal
Ca12O48Si12V8,0,0,half-metal
Ca12O48Si12V8,0,0,half-metal
Ca12O48Te8Zn12,2.145,3.80446,insulator-indirect
Ca12O48Te8Zn12,2.4613,4.23083,insulator-direct
Ca24Li12Mo8N32O6,2.3778,4.11827,insulator-indirect
Ca24Li12N32O6Re8,0,0,metal
Ca24Li12N32O6W8,2.6632,4.50299,insulator-indirect
Ca34Hg18Li12,0,0,metal
Cd1Cu3O12Ti4,1.2153,2.55122,insulator-indirect_spin-polarized
Cd12Ge12O48Sc8,2.293,4.00396,insulator-indirect
Cd24N16,0,0,metal
Cd24P16,0.1326,1.09174,insulator-direct
Cd4La6Pd13,0,0,metal
Cd4N12P6S1,3.0686,5.04947,insulator-indirect
Cd4Pd13Pr6,0,0,metal
Ce1Cu3Mn4O12,0,0,half-metal
Ce1Cu3Mn4O12,0,0,half-metal
Ce1Fe4P12,0.5849,1.70145,insulator-indirect
Ce1Fe4P12,0.5863,1.70333,insulator-indirect
Ce1Fe4Sb12,0,0,half-metal
Ce1Ge12Pt4,0,0,metal
Ce1Os4P12,0.3337,1.36283,insulator-indirect
Ce1Os4Sb12,0.1165,1.07004,insulator-direct
Ce1P12Ru4,0.3465,1.38008,insulator-indirect
Ce1P12Ru4,0.3447,1.37766,insulator-indirect
Ce1Ru4Sb12,0,0,metal
Ce1,0,0,metal
Ce16O24,2.8837,4.80023,insulator-indirect
Ce16O24,2.8751,4.78863,insulator-indirect
Ce16O24,2.98,4.93004,insulator-indirect
Ce6Cu6Sb8,0,0,metal
Ce6Ni12Si4,0,0,metal
Ce6Ni12Si4,0,0,metal
Ce6Pt6Sb8,0.4417,1.50841,insulator-indirect
Ce6S8,0,0,metal
Ce6S8,0,0,metal
Ce6S8,0,0,metal
Ce6Se8,0,0,metal
Ce6Te8,0,0,half-metal
Ce6Te8,0,0,half-metal
Ce6Te8,0,0,half-metal
Ce6Te8,0,0,half-metal
Ce6Te8,0,0,half-metal
Ce4Pd12Sn25,0,0,metal
Ce4Pt12Sn25,0,0,metal
Ce4Rh12Si1,0,0,metal
Ce8Sb6,0,0,metal
Ce8Sb6,0,0,metal
Ce8Sb6,0,0,metal
Ce8Sb6,0,0,metal
Ce8Sb6,0,0,metal
Ce8Sb6,0,0,metal
Ce6Ni6P17,0,0,metal
Ce6P17Pd6,0,0,metal
Cl4Cu4H12N4,2.3612,4.0959,insulator-indirect
Cl4Hg6S4,1.9096,3.48714,insulator-indirect
Cl4Hg6S4,1.924,3.50655,insulator-direct
Cl4Hg6S4,1.906,3.48229,insulator-indirect
Cl4Hg6Se4,1.7767,3.30799,insulator-indirect
Cl4Hg6Te4,1.8789,3.44576,insulator-indirect
Cl15Co1Zr6,1.0319,2.304,insulator-direct
Cl15Ni1Zr6,0,0,metal
Co1Fe7,0,0,metal
Co1Ga12U4,0,0,metal
Co4N12,0,0,metal
Co4N12,0,0,metal
Co4P12,0,0,metal
Co4P12,0,0,metal
Co4P12,0,0,metal
Co4P12,0,0,metal
Co4Sb12,0.1534,1.11978,insulator-direct
Co4Sb12,0.1509,1.11641,insulator-direct
Co4Sb12,0.1528,1.11897,insulator-direct
Co4Sb12,0.1592,1.1276,insulator-direct
Co4Sb12,0.147,1.11116,insulator-direct
Co4Sb12,0.1516,1.11736,insulator-direct
Co4Sb12,0.1517,1.11749,insulator-direct
Co4Sb12,0.1492,1.11412,insulator-direct
Co4Sb12,0.152,1.1179,insulator-direct
Co4Sb12,0.1535,1.11992,insulator-direct
Co4Sb12,0.1473,1.11156,insulator-direct
Co4Sb12,0.1461,1.10994,insulator-direct
Co4Sb12,0.1508,1.11628,insulator-direct
Co4Sb12,0.152,1.1179,insulator-direct
Co4Sb12,0.1484,1.11304,insulator-direct
Co4U4,0,0,metal
Co3Fe5,0,0,metal
Co6Sb8Th6,0,0,metal
Co6Sb8U6,0.3888,1.4371,insulator-direct
Co6Sb8U6,0.3406,1.37213,insulator-direct
Co4Nd1P12,0,0,metal
Co4P12Pr1,0,0,metal
Co4P12Yb1,0,0,metal
Co4Sb12Sn1,0,0,metal
Co6Nd12Sn1,0,0,metal
Co7Ge6Hf4,0,0,metal
Co7Ge6Sc4,0,0,metal
Co7Ge6Ti4,0,0,metal
Co7Ge6Zr4,0,0,metal
Co7Ge6Zr4,0,0,metal
Cr1Dy4Ga12,0,0,metal
Cr1Ga4,0,0,metal
Cr1,0,0,metal
Cr1,0,0,metal
Cr1,0,0,metal
Cr1,0,0,metal
Cr1,0,0,metal
Cr1,0,0,metal
Cr1,0,0,metal
Cr1,0,0,metal
Cr1,0,0,metal
Cr1,0,0,metal
Cr8Fe12O48Si12,3.0148,4.97695,insulator-indirect_spin-polarized
Cr8Fe12O48Si12,3.0087,4.96873,insulator-indirect_spin-polarized
Cr8Ge12Mn12O48,2.0759,3.71131,insulator-direct
Cr8Mg12O48Si12,3.3969,5.49202,insulator-indirect
Cr8Mg12O48Si12,3.3926,5.48622,insulator-indirect
Cr8Mn12O48Si12,2.8646,4.77448,insulator-indirect
Cr8Mn12O48Si12,2.8681,4.7792,insulator-indirect
Cs1,0,0,metal
Cs1,0,0,metal
Cs1,0,0,metal
Cs1,0,0,metal
Cs1,0,0,metal
Cs6Hg81,0,0,metal
Cs6F6H24N8,4.8489,7.44932,insulator-direct
Cs18O6Tl8,0,0,half-metal
Cu1,0,0,metal
Cu3Dy1Mn4O12,0,0,half-metal
Cu6Dy6Sb8,0.2605,1.26415,insulator-indirect
Cu6Er6Sb8,0.3048,1.32387,insulator-indirect
Cu3Eu1Mn4O12,0,0,metal
Cu3Fe4La1O12,0,0,metal
Cu3Fe4La1O12,0,0,metal
Cu3Fe4O12Sr1,0,0,half-metal
Cu3Fe4O12Sr1,0,0,half-metal
Cu3Fe4O12Sr1,0,0,half-metal
Cu3Fe4O12Sr1,0,0,half-metal
Cu12Ga32V8,0,0,metal
Cu12Ga32W8,0,0,metal
Cu6Gd6Sb8,0,0,half-metal
Cu3Ho1Mn4O12,0,0,half-metal
Cu6Ho6Sb8,0.2881,1.30136,insulator-indirect
Cu3La1O12Ru4,0,0,half-metal
Cu6La6Sb8,0.1482,1.11277,insulator-indirect
Cu3Mn4O12Pr1,0,0,metal
Cu3Mn4O12Th1,0,0,half-metal
Cu3Mn4O12Y1,0,0,half-metal
Cu3Mn4O12Y1,0,0,half-metal
Cu3Mn4O12Yb1,0,0,half-metal
Cu3Na1O12Ru4,0,0,half-metal
Cu3Na1O12Ru4,0,0,half-metal
Cu3Nd1O12Ru4,0,0,half-metal
Cu3Nd1O12Ru4,0,0,half-metal
Cu6Nd6Sb8,0.0529,0.984309,insulator-indirect_spin-polarized
Cu6Nd6Sb8,0.0218,0.942386,insulator-indirect_spin-polarized
Cu12O24Te4,0.6152,1.74229,insulator-direct_spin-polarized
Cu12O24Te4,0.62,1.74876,insulator-direct_spin-polarized
Cu12O24Te4,0.6068,1.73097,insulator-direct_spin-polarized
Cu3O12Pb1Sn4,0.9611,2.20856,insulator-direct
Cu3O12Ru4Sr1,0,0,half-metal
Cu3O12Sn4Sr1,0.6554,1.79648,insulator-direct
Cu6Pr6Sb8,0.0917,1.03661,insulator-indirect
Cu12S12Sb4,0.7077,1.86698,insulator-direct
Cu12S12Sb4,0,0,metal
Cu6Sb8Tb6,0.2379,1.23369,insulator-indirect
Cu6Sb8U6,0,0,half-metal
Cu6Sb8U6,0.0208,0.941038,insulator-indirect_spin-polarized
Cu6Sb8Y6,0.2728,1.28073,insulator-indirect
Cu6Sn8U6,0,0,metal
Cu10Zn16,0,0,metal
Cu10Zn16,0,0,metal
Cu10Zn16,0,0,metal
Cu10Zn16,0,0,metal
Cu10Zn16,0,0,metal
Cu10Zn16,0,0,metal
Cu12Ga42Li26,0,0,metal
Cu12S13Sb4,0,0,half-metal
Cu12S13Sb4,0,0,half-metal
Cu12S13Sb4,0,0,half-metal
Cu12S13Sb4,0,0,half-metal
Cu30Si8,0,0,metal
Cu30Si8,0,0,metal
Dy1,0,0,metal
Dy16N24,0,0,half-metal
Dy16O24,3.9236,6.20201,insulator-indirect
Dy16O24,3.9303,6.21104,insulator-indirect
Dy16O24,3.929,6.20929,insulator-indirect
Dy16O24,3.9311,6.21212,insulator-indirect
Dy16O24,3.9262,6.20552,insulator-indirect
Dy16O24,3.9277,6.20754,insulator-indirect
Dy16O24,3.9276,6.2074,insulator-indirect
Dy16O24,3.9255,6.20457,insulator-indirect
Dy16O24,3.9236,6.20201,insulator-indirect
Dy16O24,3.9278,6.20767,insulator-indirect
Dy16O24,3.9277,6.20754,insulator-indirect
Dy16O24,3.9245,6.20323,insulator-indirect
Dy12Fe20O48,1.682,3.18034,insulator-direct_spin-polarized
Dy6Ga4Ni12,0,0,metal
Dy12Ga20O48,3.4123,5.51278,insulator-direct
Dy6Ni12Si4,0,0,metal
Dy6S8,0,0,metal
Dy6Se8,0,0,metal
Dy6Se8,0,0,metal
Dy4Fe1Ga12,0,0,metal
Dy4Ga12Ni1,0,0,metal
Dy4Ga12Pd1,0,0,metal
Dy4Ge6Ir7,0,0,metal
Dy4Ge6Rh7,0,0,metal
Dy4Ni12Sn25,0,0,metal
Dy8Sb6,0,0,metal
Dy8Sb6,0,0,metal
Dy8Sb6,0,0,metal
Dy5Mg24,0,0,metal
Dy5Mg24,0,0,metal
Dy6Fe16O1,0,0,metal
Er1,0,0,metal
Er16O24,3.9686,6.26267,insulator-indirect
Er16O24,3.9664,6.25971,insulator-indirect
Er16O24,3.9685,6.26254,insulator-indirect
Er16O24,3.9665,6.25984,insulator-indirect
Er16O24,3.9644,6.25701,insulator-indirect
Er16O24,3.9615,6.2531,insulator-indirect
Er16O24,3.9657,6.25876,insulator-indirect
Er16O24,3.9582,6.24865,insulator-indirect
Er16O24,3.9598,6.25081,insulator-indirect
Er16O24,3.9603,6.25148,insulator-indirect
Er16O24,3.9761,6.27278,insulator-indirect
Er16O24,3.9639,6.25634,insulator-indirect
Er16O24,3.9699,6.26443,insulator-indirect
Er16O24,3.9685,6.26254,insulator-indirect
Er16O24,3.9735,6.26928,insulator-indirect
Er16O24,3.9627,6.25472,insulator-indirect
Er16O24,3.9588,6.24946,insulator-indirect
Er16O24,3.9709,6.26577,insulator-indirect
Er16O24,3.9664,6.25971,insulator-indirect
Er12Fe20O48,0,0,half-metal
Er6Ga4Ni12,0,0,metal
Er12Ga20O48,3.4546,5.5698,insulator-direct
Er6Ni12Si4,0,0,metal
Er12Ru8,0,0,metal
Er4Fe1Ga12,0,0,metal
Er4Ga12Ni1,0,0,metal
Er4Ga12Pd1,0,0,metal
Er4Ge6Ir7,0,0,metal
Er4Ge6Os7,0,0,metal
Er4Ge6Rh7,0,0,metal
Er8Sb6,0,0,metal
Er5Mg24,0,0,metal
Er5Mg24,0,0,metal
Er5Mg24,0,0,metal
Er5Mg24,0,0,metal
Eu1Mn28,0,0,metal
Eu1Fe4P12,0,0,metal
Eu1Ge12Pt4,0,0,metal
Eu1Na10Sn12,0.6486,1.78731,insulator-indirect
Eu1Os4Sb12,0,0,metal
Eu1P12Ru4,0,0,metal
Eu1Ru4Sb12,0,0,metal
Eu1Ru4Sb12,0,0,metal
Eu1Ru4Sb12,0,0,metal
Eu1,0,0,metal
Eu1,0,0,metal
Eu1,0,0,metal
Eu1,0,0,metal
Eu1,0,0,metal
Eu1,0,0,metal
Eu1,0,0,metal
Eu3Ga4Ni4,0,0,metal
Eu6Ni12Si4,0,0,metal
Eu6O24Sb10,0,0,half-metal
Eu6S8,0,0,half-metal
Eu6S8,0,0,half-metal
Eu6S8,0,0,half-metal
Eu6S8,0,0,half-metal
Eu6S8,0,0,half-metal
Eu6S8,0,0,half-metal
Eu6S8,0,0,half-metal
Eu6S8,0,0,half-metal
F4Hg6S4,1.8314,3.38173,insulator-indirect
F4Ge1,5.2736,8.02181,insulator-indirect
F4Si1,7.7111,11.3076,insulator-indirect
F4Si1,7.7039,11.2979,insulator-indirect
F4Si1,7.6934,11.2837,insulator-indirect
F4Si1,7.6871,11.2752,insulator-indirect
F24H12O4Sb4,4.6581,7.19212,insulator-indirect
F24K4Sb4,4.9347,7.56498,insulator-indirect
F24K4Sb4,4.9355,7.56605,insulator-indirect
F6Mo1,4.1005,6.44047,insulator-indirect
F24O8Pt4,0,0,metal
F24O8Pt4,0,0,metal
F24O8Ru4,0,0,metal
F24O8Sb4,1.3621,2.74911,insulator-indirect
F6S1,5.7912,8.71954,insulator-direct
F6S1,5.7044,8.60253,insulator-direct
F18U4,0,0,half-metal
F18U4,0,0,half-metal
F18U4,0,0,half-metal
F18U4,0,0,half-metal
F18U4,0,0,half-metal
F48Fe8Li12Na12,3.7765,6.00372,insulator-direct_spin-polarized
F12P4Pt1,4.9912,7.64114,insulator-direct
F15Nb6,0,0,metal
F15Nb6,0,0,metal
Fe1Ga6Ge6Tb4,0,0,metal
Fe1Ga12Ho4,0,0,metal
Fe1Ga12Ho4,0,0,metal
Fe1Ga12Tb4,0,0,metal
Fe1Ga12U4,0,0,metal
Fe1Ga12Y4,0,0,metal
Fe1,0,0,metal
Fe1,0,0,metal
Fe1,0,0,metal
Fe1,0,0,metal
Fe1,0,0,metal
Fe1,0,0,metal
Fe1,0,0,metal
Fe1,0,0,metal
Fe1,0,0,metal
Fe1,0,0,metal
Fe1,0,0,metal
Fe1,0,0,metal
Fe1,0,0,metal
Fe1,0,0,metal
Fe1,0,0,metal
Fe1,0,0,metal
Fe1,0,0,metal
Fe1,0,0,metal
Fe1,0,0,metal
Fe1,0,0,metal
Fe1,0,0,metal
Fe1,0,0,metal
Fe1,0,0,metal
Fe1,0,0,metal
Fe1,0,0,metal
Fe1,0,0,metal
Fe1,0,0,metal
Fe8Ge12Mn12O48,1.8991,3.47299,insulator-indirect_spin-polarized
Fe8Mg12O48Si12,2.4566,4.2245,insulator-direct_spin-polarized
Fe8Mg12O48Si12,2.4558,4.22342,insulator-direct_spin-polarized
Fe8Mg12O48Si12,2.4559,4.22355,insulator-direct_spin-polarized
Fe8Mn12O48Si12,0,0,half-metal
Fe8Mn12O48Si12,0,0,metal
Fe16O24,0,0,half-metal
Fe12Mn8O48Si12,0,0,half-metal
Fe12O48Si12V8,1.5011,2.93648,insulator-direct
Fe4La1P12,0,0,metal
Fe4La1P12,0,0,metal
Fe4La1Sb12,0,0,metal
Fe4La1Sb12,0,0,metal
Fe4Na1Sb12,0,0,metal
Fe4Na1Sb12,0,0,metal
Fe4Na1Sb12,0,0,metal
Fe4Na1Sb12,0,0,metal
Fe4Nd1P12,0,0,metal
Fe4Nd1P12,0,0,metal
Fe4Nd1Sb12,0,0,metal
Fe4P12Pr1,0,0,metal
Fe4P12Pr1,0,0,metal
Fe4P12Tb1,0,0,metal
Fe4P12Th1,0.0348,0.95991,insulator-indirect
Fe4P12U1,0,0,metal
Fe4P12U1,0,0,metal
Fe4P12U1,0,0,metal
Fe4P12Yb1,0,0,metal
Fe4Sb12Sr1,0,0,metal
Fe20Nd12O48,1.7411,3.26,insulator-direct_spin-polarized
Fe20O48Pr12,0,0,half-metal
Fe20O48Pr12,0,0,half-metal
Fe20O48Si12,1.9171,3.49725,insulator-indirect
Fe20O48Si12,1.9162,3.49604,insulator-indirect
Fe20O48Si12,1.9058,3.48202,insulator-indirect
Fe20O48Tb12,1.6824,3.18088,insulator-direct_spin-polarized
Fe20O48Tb12,1.6824,3.18088,insulator-direct_spin-polarized
Fe20O48Y12,0,0,half-metal
Fe20O48Y12,0,0,half-metal
Fe20O48Y12,0,0,half-metal
Fe20O48Y12,0,0,half-metal
Fe20O48Y12,0,0,half-metal
Fe20O48Y12,0,0,half-metal
Fe20O48Y12,0,0,half-metal
Fe20O48Y12,0,0,half-metal
Fe20O48Y12,0,0,half-metal
Fe20O48Y12,0,0,half-metal
Fe20O48Y12,0,0,half-metal
Fe20O48Y12,0,0,half-metal
Fe20O48Yb12,0,0,half-metal
Fe20Si12,0,0,metal
Fe16Ho6O1,0,0,metal
Fe16O1Y6,0,0,metal
Ga4I12La12,0,0,metal
Ga8Li24N16,2.4745,4.24863,insulator-direct
Ga8Li24N16,2.4763,4.25105,insulator-direct
Ga8Li24N16,2.4767,4.25159,insulator-direct
Ga6,0,0,metal
Ga4Ho6Ni12,0,0,metal
Ga4Nd6Ni12,0,0,metal
Ga4Ni12Tb6,0,0,metal
Ga4Ni12Y6,0,0,metal
Ga12Na12O48Te8,1.8954,3.468,insulator-direct
Ga24Ni24Zn8,0,0,metal
Ga4Mn1,0,0,metal
Ga4Mn1,0,0,metal
Ga32Ni24,0,0,metal
Ga20Gd12O48,3.254,5.29939,insulator-direct
Ga20Gd12O48,3.2514,5.29589,insulator-direct
Ga20Gd12O48,3.2537,5.29899,insulator-direct
Ga20Ho12O48,3.4313,5.53839,insulator-direct
Ga10Mn16,0,0,metal
Ga20Nd12O48,3.045,5.01766,insulator-direct
Ga20O48Tb12,3.3872,5.47895,insulator-direct
Ga20O48Tb12,3.3862,5.4776,insulator-direct
Ga20O48Tb12,3.3851,5.47611,insulator-direct
Ga20O48Y12,3.4648,5.58355,insulator-direct
Ga20O48Y12,3.4648,5.58355,insulator-direct
Ga20O48Y12,3.4646,5.58328,insulator-direct
Ga20O48Y12,3.4649,5.58369,insulator-direct
Ga20O48Yb12,0.521,1.61531,insulator-direct
Ga6Ge6Mn1Y4,0,0,metal
Ga6Ge6Mn1Y4,0,0,metal
Ga14Ni6,0,0,metal
Ga14Pd6,0,0,metal
Ga14Pt6,0,0,metal
Ga12Gd4Pd1,0,0,metal
Ga12Ho4Ni1,0,0,metal
Ga12Ho4Pd1,0,0,metal
Ga12Lu4Pd1,0,0,metal
Ga12Ni1Tm4,0,0,metal
Ga12Pd1Tb4,0,0,metal
Ga12Pd1Tb4,0,0,metal
Ga24Pd2Tm8,0,0,metal
Ga12Pd1U4,0,0,metal
Ga12Pd1Y4,0,0,metal
Ga12Pd1Y4,0,0,metal
Ga12Pt1Tb4,0,0,metal
Ga12Pt1Y4,0,0,metal
Ga12Rh1U4,0,0,metal
Gd1,0,0,metal
Gd16O24,3.6128,5.78305,insulator-indirect
Gd16O24,3.6193,5.79182,insulator-indirect
Gd16O24,3.6154,5.78656,insulator-indirect
Gd16O24,3.6181,5.7902,insulator-indirect
Gd16O24,3.6224,5.796,insulator-indirect
Gd16O24,3.6101,5.77941,insulator-indirect
Gd16O24,3.6195,5.79209,insulator-indirect
Gd16O24,3.6157,5.78696,insulator-indirect
Gd16O24,3.6159,5.78723,insulator-indirect
Gd16O24,3.6128,5.78305,insulator-indirect
Gd16O24,3.6189,5.79128,insulator-indirect
Gd16O24,3.6128,5.78305,insulator-indirect
Gd16O24,3.616,5.78737,insulator-indirect
Gd16O24,3.6151,5.78615,insulator-indirect
Gd16O24,3.6132,5.78359,insulator-indirect
Gd16O24,3.618,5.79006,insulator-indirect
Gd16O24,3.6143,5.78508,insulator-indirect
Gd16O24,3.6152,5.78629,insulator-indirect
Gd16O24,3.6119,5.78184,insulator-indirect
Gd16O24,3.6162,5.78764,insulator-indirect
Gd12I12Si4,0,0,metal
Gd6Ni12Si4,0,0,metal
Gd6O24Sb10,3.0954,5.0856,insulator-indirect
Gd6O24Sb10,3.0979,5.08897,insulator-indirect
Gd6O24Sb10,3.1009,5.09301,insulator-indirect
Gd6S8,0,0,metal
Gd6S8,0,0,metal
Gd6Se8,0,0,metal
Gd8Sb6,0,0,half-metal
Gd8Sb6,0,0,half-metal
Gd8Sb6,0,0,half-metal
Ge4I12La12,0,0,metal
Ge8,0,0,metal
Ge1,0,0,metal
Ge6La8,0,0,metal
Ge6N8,1.5553,3.00954,insulator-indirect
Ge6O24Sb8,3.2317,5.26933,insulator-indirect
Ge12O48Sr12Y8,3.1104,5.10582,insulator-direct
Ge6Pr8,0,0,metal
Ge8Li30,0,0,metal
Ge8Li30,0,0,metal
Ge8Li30,0,0,metal
Ge6Ho4Ir7,0,0,metal
Ge6Ho4Rh7,0,0,metal
Ge6Ir7Lu4,0,0,metal
Ge6Ir7Mn4,0,0,metal
Ge6Ir7Mn4,0,0,metal
Ge6Ir7Sc4,0,0,metal
Ge6Ir7Tb4,0,0,metal
Ge6Ir7Tm4,0,0,metal
Ge6Ir7Y4,0,0,metal
Ge6Ir7Yb4,0,0,metal
Ge6Ir7Yb4,0,0,metal
Ge6Lu4Os7,0,0,metal
Ge6Lu4Rh7,0,0,metal
Ge6Lu4Ru7,0,0,metal
Ge6Os7Sc4,0,0,metal
Ge6Os7U4,0,0,metal
Ge6Os7Yb4,0,0,metal
Ge6Rh7Sc4,0,0,metal
Ge6Rh7Yb4,0,0,metal
Ge6Rh7Yb4,0,0,metal
Ge6Ru7Sc4,0,0,metal
Ge6Ru7U4,0,0,metal
Ge6Tc7U4,0,0,metal
Ge14Ir6,0,0,metal
Ge4Na3Pt4,0,0,metal
Ge12La1Pt4,0,0,metal
Ge12Nd1Pt4,0,0,metal
Ge12Pr1Pt4,0,0,metal
H1,,,
H24N10Rb6,2.1076,3.75404,insulator-direct
H30Th8,0,0,metal
H30Th8,0,0,metal
H30Th8,0,0,metal
H30Th8,0,0,metal
He1,17.2832,24.2108,insulator-indirect
He1,17.42,24.3952,insulator-indirect
Hf5Re24,0,0,metal
Hf4O32Te12,3.8507,6.10374,insulator-indirect
Hf1,0,0,metal
Hf1,0,0,metal
Hf1,0,0,metal
Hf6N8,1.0245,2.29403,insulator-direct
Hf5Re24,0,0,metal
Hg24O48Te8,0.6031,1.72598,insulator-direct
Hg24O48Te8,1.1426,2.45322,insulator-direct
Hg24O48Te8,1.1426,2.45322,insulator-direct
Hg4Ni1,0,0,metal
Hg4Ni1,0,0,metal
Hg4Pt1,0,0,metal
Hg4Pt1,0,0,metal
Hg4Pt1,0,0,metal
Hg4Pt1,0,0,metal
Hg4Pt1,0,0,metal
Hg4Pt1,0,0,metal
Hg18Li12Sr34,0,0,metal
Ho1,0,0,metal
Ho16N24,0,0,half-metal
Ho16O24,3.9518,6.24003,insulator-indirect
Ho16O24,3.9492,6.23652,insulator-indirect
Ho16O24,3.9489,6.23612,insulator-indirect
Ho16O24,3.9506,6.23841,insulator-indirect
Ho16O24,3.9468,6.23329,insulator-indirect
Ho16O24,3.9447,6.23046,insulator-indirect
Ho16O24,3.9425,6.22749,insulator-indirect
Ho16O24,3.9397,6.22372,insulator-indirect
Ho16O24,3.9488,6.23598,insulator-indirect
Ho16O24,3.9502,6.23787,insulator-indirect
Ho16O24,3.9424,6.22736,insulator-indirect
Ho16O24,3.9532,6.24191,insulator-indirect
Ho16O24,3.944,6.22951,insulator-indirect
Ho16O24,3.945,6.23086,insulator-indirect
Ho16O24,3.9469,6.23342,insulator-indirect
Ho6Ni12Si4,0,0,metal
Ho8Sb6,0,0,metal
Ho8Sb6,0,0,metal
Ho5Mg24,0,0,metal
