Compounds,Egap,Egap_fit:,Egap_type:
Al8Mg12O48Si12,4.9464,7.58075,insulator-indirect
Al8Mg12O48Si12,4.9451,7.57899,insulator-indirect
Al8Mg12O48Si12,4.9519,7.58816,insulator-indirect
Al8Mg12O48Si12,4.9484,7.58344,insulator-indirect
Al8Mg12O48Si12,4.9495,7.58493,insulator-indirect
Al8Mg12O48Si12,4.9462,7.58048,insulator-indirect
Al8Mg12O48Si12,4.9459,7.58007,insulator-indirect
Al8Mg12O48Si12,4.9479,7.58277,insulator-indirect
Al8Mg12O48Si12,4.945,7.57886,insulator-indirect
Al8Mg12O48Si12,4.9463,7.58061,insulator-indirect
Al8Mg12O48Si12,4.9463,7.58061,insulator-indirect
Al8Mg12O48Si12,4.9476,7.58236,insulator-indirect
Al8Mg12O48Si12,4.9473,7.58196,insulator-indirect
Al8Mg12O48Si12,4.9467,7.58115,insulator-indirect
Al8Mg12O48Si12,4.9458,7.57994,insulator-indirect
Al8Mg12O48Si12,4.946,7.58021,insulator-indirect
Al8Mg12O48Si12,4.9455,7.57953,insulator-indirect
Al8Mg12O48Si12,4.9458,7.57994,insulator-indirect
Al8Mg12O48Si12,4.9448,7.57859,insulator-indirect
Al8Mg12O48Si12,4.946,7.58021,insulator-indirect
Al8Mg12O48Si12,4.9468,7.58129,insulator-indirect
Al8Mg12O48Si12,4.945,7.57886,insulator-indirect
Al8Mg12O48Si12,4.9464,7.58075,insulator-indirect
Al8Mg12O48Si12,4.9464,7.58075,insulator-indirect
Al8Mg12O48Si12,4.946,7.58021,insulator-indirect
Al8Mg12O48Si12,4.9453,7.57926,insulator-indirect
Al8Mg12O48Si12,4.9466,7.58102,insulator-indirect
Al8Mg12O48Si12,4.9443,7.57792,insulator-indirect
Al8Mg12O48Si12,4.9463,7.58061,insulator-indirect
Al8Mg12O48Si12,4.9476,7.58236,insulator-indirect
Al8Mg12O48Si12,4.9461,7.58034,insulator-indirect
Al8Mg12O48Si12,4.9471,7.58169,insulator-indirect
Al8Mg12O48Si12,4.9463,7.58061,insulator-indirect
Al8Mg12O48Si12,4.9474,7.5821,insulator-indirect
Al8Mg12O48Si12,4.9468,7.58129,insulator-indirect
Al8Mg12O48Si12,4.9479,7.58277,insulator-indirect
Al8Mg12O48Si12,4.9486,7.58371,insulator-indirect
Al8Mg12O48Si12,4.9462,7.58048,insulator-indirect
Al8Mg12O48Si12,4.9458,7.57994,insulator-indirect
Al8Mg12O48Si12,4.9453,7.57926,insulator-indirect
Al8Mg12O48Si12,4.9457,7.5798,insulator-indirect
Al8Mg12O48Si12,4.9474,7.5821,insulator-indirect
Al8Mg12O48Si12,4.9442,7.57778,insulator-indirect
Al8Mg12O48Si12,4.9466,7.58102,insulator-indirect
Al8Mg12O48Si12,4.9483,7.58331,insulator-indirect
Al8Mg12O48Si12,4.9486,7.58371,insulator-indirect
Al8Mg12O48Si12,4.9485,7.58358,insulator-indirect
Al8Mn12O48Si12,3.5733,5.72981,insulator-indirect
Al8Mn12O48Si12,3.5781,5.73628,insulator-indirect
Al8Mn12O48Si12,3.574,5.73075,insulator-indirect
Al8Mn12O48Si12,3.5753,5.7325,insulator-indirect
Al8Mn12O48Si12,3.575,5.7321,insulator-indirect
Al8Mn12O48Si12,3.574,5.73075,insulator-indirect
Al8Mn12O48Si12,3.5752,5.73237,insulator-indirect
